Person;birth place;birth date;wikilink;latitude;longitude
Robert Smithson;Passaic, New Jersey;02/01/1938;http://wikipedia.org/wiki/Robert_Smithson; 40.86; -74.13
"Tyler ""Telle"" Smith";Dayton, Ohio;09/08/1986;"http://wikipedia.org/wiki/Tyler_""Telle""_Smith"; 39.76; -84.19
Todd Smith (musician);Rockville, Maryland;03/12/1975;http://wikipedia.org/wiki/Todd_Smith_(musician); 39.08; -77.15
Lonnie Liston Smith;Richmond, Virginia;28/12/1940;http://wikipedia.org/wiki/Lonnie_Liston_Smith; 37.53; -77.47
Michael Peter Smith;South Orange, New Jersey;07/09/1941;http://wikipedia.org/wiki/Michael_Peter_Smith; 40.75; -74.26
Tony Smith (sculptor);South Orange, New Jersey;23/09/1912;http://wikipedia.org/wiki/Tony_Smith_(sculptor); 40.75; -74.26
Jack Smith (artist);Sheffield;18/06/1928;http://wikipedia.org/wiki/Jack_Smith_(artist); 53.38;  -1.47
Wadada Leo Smith;Leland, Mississippi;18/12/1941;http://wikipedia.org/wiki/Wadada_Leo_Smith; 33.41; -90.90
Michael W. Smith;Kenova, West Virginia;07/10/1957;http://wikipedia.org/wiki/Michael_W._Smith; 38.40; -82.58
Rick Smith (Underworld);Carmarthenshire;25/05/1959;http://wikipedia.org/wiki/Rick_Smith_(Underworld); 51.86;  -4.31
Elliott Smith;Omaha, Nebraska;06/08/1969;http://wikipedia.org/wiki/Elliott_Smith; 41.25; -96.00
Cal Smith;Gans, Oklahoma;07/04/1932;http://wikipedia.org/wiki/Cal_Smith; 35.39; -94.69
Robert W. Smith (musician);Daleville, Alabama;24/10/1958;http://wikipedia.org/wiki/Robert_W._Smith_(musician); 31.30; -85.71
Paul Smith (rock vocalist);Billingham;13/03/1979;http://wikipedia.org/wiki/Paul_Smith_(rock_vocalist); 54.61;  -1.27
Jimmy Smith (musician);Norristown, Pennsylvania;08/12/1925;http://wikipedia.org/wiki/Jimmy_Smith_(musician); 40.12; -75.34
T. V. Smith;Romford;05/04/1956;http://wikipedia.org/wiki/T._V._Smith; 51.58;   0.18
Paul Smith (fashion designer);Beeston, Nottinghamshire;05/07/1946;http://wikipedia.org/wiki/Paul_Smith_(fashion_designer); 52.93;  -1.22
Rick Smith (Underworld);Ammanford;25/05/1959;http://wikipedia.org/wiki/Rick_Smith_(Underworld); 51.80;  -3.99
Mike Smith (guitarist);Middle River, Maryland;11/10/1973;http://wikipedia.org/wiki/Mike_Smith_(guitarist); 39.33; -76.44
Travis Smith (musician);Bainbridge, Georgia;29/04/1982;http://wikipedia.org/wiki/Travis_Smith_(musician); 30.90; -84.57
Tab Smith;Kinston, North Carolina;11/01/1909;http://wikipedia.org/wiki/Tab_Smith; 35.27; -77.58
Dallas Smith (singer);Langley, British Columbia (city);04/12/1977;http://wikipedia.org/wiki/Dallas_Smith_(singer); 49.10;-122.66
Fred Sledge Smith;Los Angeles, California;18/05/1933;http://wikipedia.org/wiki/Fred_Sledge_Smith;    NA;     NA
Willi Smith;Pennsylvania;29/02/1948;http://wikipedia.org/wiki/Willi_Smith;    NA;     NA
Paul Smith (pianist);San Diego, California;17/04/1922;http://wikipedia.org/wiki/Paul_Smith_(pianist);    NA;     NA
Corey Smith (artist);San Francisco, California;03/10/1977;http://wikipedia.org/wiki/Corey_Smith_(artist);    NA;     NA
Xanthus Russell Smith;Philadelphia, Pennsylvania;1839-02-26;http://wikipedia.org/wiki/Xanthus_Russell_Smith;    NA;     NA
"Fred ""Sonic"" Smith";West Virginia;14/09/1948;"http://wikipedia.org/wiki/Fred_""Sonic""_Smith";    NA;     NA
Travis Smith (musician);Georgia (U.S. state);29/04/1982;http://wikipedia.org/wiki/Travis_Smith_(musician);    NA;     NA
Todd Smith (musician);Maryland;03/12/1975;http://wikipedia.org/wiki/Todd_Smith_(musician);    NA;     NA
